LGA_NAME_2021,Council Type
Albury,Regional Town/City
Armidale Regional,Regional Town/City
Ballina,Regional Town/City
Balranald,Rural
Bathurst Regional,Regional Town/City
Bayside (NSW),Metropolitan
Bega Valley,Regional Town/City
Bellingen,Large Rural
Berrigan,Large Rural
Blacktown,Metropolitan
Bland,Large Rural
Blayney,Large Rural
Blue Mountains,Metropolitan Fringe
Bogan,Rural
Bourke,Rural
Brewarrina,Rural
Broken Hill,Regional Town/City
Burwood,Metropolitan
Byron,Regional Town/City
Cabonne,Large Rural
Camden,Metropolitan Fringe
Campbelltown (NSW),Metropolitan Fringe
Canada Bay,Metropolitan
Canterbury-Bankstown,Metropolitan
Carrathool,Rural
Central Coast (NSW),Metropolitan Fringe
Central Darling,Rural
Cessnock,Regional Town/City
Clarence Valley,Regional Town/City
Cobar,Large Rural
Coffs Harbour,Regional Town/City
Coolamon,Rural
Coonamble,Rural
Cootamundra-Gundagai Regional,Large Rural
Cowra,Large Rural
Cumberland,Metropolitan
Dubbo Regional,Regional Town/City
Dungog,Large Rural
Edward River,Large Rural
Eurobodalla,Regional Town/City
Fairfield,Metropolitan
Federation,Large Rural
Forbes,Large Rural
Georges River,Metropolitan
Gilgandra,Rural
Glen Innes Severn,Large Rural
Goulburn Mulwaree,Regional Town/City
Greater Hume Shire,Large Rural
Griffith,Regional Town/City
Gunnedah,Large Rural
Gwydir,Large Rural
Hawkesbury,Metropolitan Fringe
Hay,Rural
Hilltops,Large Rural
Hornsby,Metropolitan Fringe
Hunters Hill,Metropolitan
Inner West,Metropolitan
Inverell,Large Rural
Junee,Large Rural
Kempsey,Regional Town/City
Kiama,Regional Town/City
Ku-ring-gai,Metropolitan
Kyogle,Large Rural
Lachlan,Large Rural
Lake Macquarie,Regional Town/City
Lane Cove,Metropolitan
Leeton,Large Rural
Lismore,Regional Town/City
Lithgow,Regional Town/City
Liverpool,Metropolitan
Liverpool Plains,Large Rural
Lockhart,Rural
Maitland,Regional Town/City
Mid-Coast,Regional Town/City
Mid-Western Regional,Regional Town/City
Moree Plains,Large Rural
Mosman,Metropolitan
Murray River,Large Rural
Murrumbidgee,Rural
Muswellbrook,Large Rural
Nambucca Valley,Large Rural
Narrabri,Large Rural
Narrandera,Large Rural
Narromine,Large Rural
Newcastle,Regional Town/City
North Sydney,Metropolitan
Northern Beaches,Metropolitan
Oberon,Large Rural
Orange,Regional Town/City
Parkes,Large Rural
Parramatta,Metropolitan
Penrith,Metropolitan Fringe
Port Macquarie-Hastings,Regional Town/City
Port Stephens,Regional Town/City
Queanbeyan-Palerang Regional,Regional Town/City
Randwick,Metropolitan
Richmond Valley,Regional Town/City
Ryde,Metropolitan
Shellharbour,Regional Town/City
Shoalhaven,Regional Town/City
Singleton,Regional Town/City
Snowy Monaro Regional,Regional Town/City
Snowy Valleys,Large Rural
Strathfield,Metropolitan
Sutherland Shire,Metropolitan
Sydney,Metropolitan
Tamworth Regional,Regional Town/City
Temora,Large Rural
Tenterfield,Large Rural
The Hills Shire,Metropolitan Fringe
Tweed,Regional Town/City
Upper Hunter Shire,Large Rural
Upper Lachlan Shire,Large Rural
Uralla,Large Rural
Wagga Wagga,Regional Town/City
Walcha,Rural
Walgett,Large Rural
Warren,Rural
Warrumbungle Shire,Large Rural
Waverley,Metropolitan
Weddin,Rural
Wentworth,Large Rural
Willoughby,Metropolitan
Wingecarribee,Regional Town/City
Wollondilly,Metropolitan Fringe
Wollongong,Regional Town/City
Woollahra,Metropolitan
Yass Valley,Large Rural
